"","ASPEN-II-18-B","ASPEN-II-4-B","ASPEN-II-4-A","ASPEN-II-7-B","ASPEN-II-12-A","ASPEN-II-6-A","ASPEN-II-6-B","ASPEN-II-7-A","ASPEN-II-10-B","ASPEN-II-3-B","ASPEN-II-5-A","ASPEN-II-10-A","ASPEN-II-5-B","ASPEN-II-17-A","ASPEN-II-20-B","ASPEN-II-20-A","ASPEN-II-3-A","ASPEN-II-18-A","ASPEN-QQ-6-A","ASPEN-QQ-6-B","ASPEN-QQ-7-A","ASPEN-QQ-7-B","ASPEN-QQ-10-A","ASPEN-QQ-10-B","ASPEN-QQ-4-A","ASPEN-QQ-5-A","ASPEN-QQ-8-A","ASPEN-QQ-8-B","ASPEN-QQ-11-A","ASPEN-QQ-19-B","ASPEN-QQ-1-A","ASPEN-QQ-1-B","ASPEN-QQ-3-A","ASPEN-QQ-3-B","ASPEN-QQ-9-A","ASPEN-QQ-9-B","ASPEN-QQ-14-A","ASPEN-QQ-19-A","ASPEN-QQ-2-A","ASPEN-QQ-2-B","ASPEN-QQ-11-B","ASPEN-QQ-14-B","ASPEN-QQ-15-B","ASPEN-QQ-16-A","ASPEN-QQ-16-B","ASPEN-QQ-20-B","ASPEN-II-13-A","ASPEN-II-13-B","ASPEN-II-11-B","ASPEN-QQ-20-A","ASPEN-QQ-12-A","ASPEN-QQ-12-B","ASPEN-QQ-15-A","ASPEN-QQ-18-A","ASPEN-QQ-18-B","ASPEN-II-14-A","ASPEN-II-15-B","ASPEN-QQ-13-A","ASPEN-QQ-13-B","ASPEN-II-19-A","ASPEN-II-11-A","ASPEN-II-19-B","ASPEN-II-14-B"
"1971",1.679,0.89,0.408,0.486,0.846,0.784,0.752,0.388,0.19,0.556,0.522,0.111,0.565,0.38,1.769,2.28,0.418,1.386,0.776,0.861,0.453,0.537,0.456,0.512,0.309,0.48,0.549,0.548,1.12,0.85,0.852,1.118,1.438,1.67,0.385,0.639,1.008,0.814,0.832,0.759,1.032,1.17,0.911,0.809,1.065,1.147,0.877,0.49,0.983,1.238,0.822,1.118,1.032,0.912,1.074,1.234,2.09,1.052,1.146,0.677,2.283,0.252,NA
"1972",1.097,0.982,1.021,0.838,0.733,1.182,0.824,0.653,0.323,0.843,0.797,0.348,0.617,0.486,2.189,1.572,0.663,1.212,0.721,0.697,0.523,0.64,0.456,0.506,0.481,0.538,0.645,0.503,0.675,0.649,0.838,0.941,1.043,1.24,0.443,0.59,0.928,0.694,0.571,0.713,0.931,1.239,0.758,0.938,0.883,1.418,0.839,0.404,1.113,1.439,0.636,0.712,0.896,0.815,0.916,1.057,2.395,0.984,0.715,0.874,1.056,1.595,NA
"1973",0.934,1.15,1.02,0.951,0.699,1.577,1.306,0.703,0.432,0.75,0.742,0.529,0.647,0.201,1.691,0.461,0.823,1.718,0.93,0.775,0.512,0.691,0.675,0.608,0.569,0.563,0.906,0.663,0.555,0.617,0.591,1.037,1.207,1.184,0.449,0.581,1.024,0.562,0.67,0.567,0.822,0.849,1.167,0.843,0.778,1.562,0.867,0.794,1.327,1.165,0.854,0.848,1.089,0.912,0.65,1.642,0.887,0.832,0.706,1.501,1.073,1.404,NA
"1974",2.127,1.14,1.172,0.709,0.739,1.316,1.014,0.547,0.468,1.123,0.981,0.662,0.669,0.255,0.453,1.27,0.862,2.283,0.77,0.629,0.382,0.468,0.384,0.536,0.354,0.4,0.689,0.55,0.975,0.781,0.901,0.898,1.12,0.956,0.277,0.529,1.257,0.867,0.654,0.425,0.943,1.003,1.241,0.985,0.935,1.225,0.978,0.822,1.256,0.931,0.858,1.191,1.48,1.107,0.58,1.527,1.154,1.057,1.09,1.901,1.059,1.168,NA
"1975",1.895,0.289,0.334,0.147,0.631,0.348,0.265,0.117,0.544,0.187,0.122,0.466,0.095,0.572,0.093,2.032,0.119,1.996,0.913,0.855,0.422,1.143,0.295,0.754,0.266,0.576,0.694,0.295,1.147,0.923,0.766,0.951,1.232,2.065,0.338,0.791,1.455,0.889,0.811,0.92,1.065,1.491,1.214,0.953,1.155,1.348,0.161,0.933,0.21,1.309,0.906,1.322,1.678,1.123,0.724,0.742,0.423,0.932,0.977,0.329,0.171,0.974,NA
"1976",0.246,0.309,0.226,0.359,0.577,0.862,0.698,0.286,0.408,0.601,0.388,0.42,0.299,0.721,1.237,1.863,0.342,0.328,0.887,0.723,0.691,0.836,0.464,0.668,0.463,0.491,0.68,0.446,0.755,0.74,1.284,1.49,0.872,1.218,0.407,0.725,0.96,0.772,0.461,0.749,0.745,0.929,0.711,0.529,0.875,0.739,0.191,0.748,0.302,0.993,0.863,0.916,0.801,0.802,0.88,1.138,1.546,0.55,0.868,0.906,0.261,1.614,1.863
"1977",0.954,0.742,0.871,0.863,0.632,1.162,1.03,0.707,0.609,0.927,0.603,0.724,0.553,0.287,1.985,3.058,1.204,1.138,0.405,0.514,0.302,0.514,0.251,0.288,0.33,0.234,0.578,0.491,0.772,0.649,1.05,0.998,0.897,0.934,0.272,0.453,0.828,0.726,0.887,0.746,0.818,1.08,0.607,0.59,0.819,0.983,0.762,0.202,1.232,1.3,1.23,1.33,0.653,0.927,0.774,1.116,1.172,1.068,0.893,2.795,1.135,1.883,2.344
"1978",0.747,0.785,0.806,0.658,0.472,1.296,1.038,0.414,0.731,0.833,0.811,1.033,0.55,0.211,1.834,1.744,0.945,2.466,0.829,1.041,0.609,0.815,0.498,0.629,0.61,0.645,0.971,0.901,1.176,1.029,1.359,1.262,0.408,0.319,0.539,0.762,1.22,1.124,0.461,0.302,1.237,1.036,0.896,0.917,1.197,1.415,0.643,0.123,1.026,1.348,1.133,1.161,0.849,0.914,0.863,0.723,1.665,0.787,1.014,1.778,1.203,1.688,1.275
"1979",0.995,0.687,0.673,0.401,0.818,1.448,1.09,0.308,0.216,1.109,0.692,0.195,0.261,0.627,1.94,2.046,0.854,1.358,0.625,0.558,0.53,0.876,0.449,0.523,0.523,0.491,0.912,0.864,0.381,0.415,0.654,0.518,0.314,0.29,0.564,0.749,0.721,0.543,0.367,0.332,0.38,0.455,0.552,0.314,0.536,1.269,0.17,0.545,0.818,1.235,0.715,0.711,0.382,0.801,1.028,0.984,1.434,0.507,0.504,2.116,0.651,1.367,1.3
"1980",1.705,0.761,0.675,0.449,0.645,0.872,1.13,0.681,0.18,0.943,0.653,0.166,0.498,0.666,1.194,1.804,0.686,1.027,0.724,0.7,0.574,0.746,0.648,0.689,0.693,0.563,1.021,0.921,0.397,0.316,0.37,0.41,0.21,0.194,0.713,0.85,0.667,0.299,0.173,0.228,0.347,0.343,0.3,0.195,0.415,1.87,0.161,0.719,0.723,1.583,0.681,0.815,0.263,0.484,0.421,1.134,1.472,0.497,0.508,1.365,0.734,2.468,1.831
"1981",0.778,1.192,1.095,0.613,0.837,1.338,1.017,0.654,1.115,1.059,0.758,0.909,0.432,0.71,1.664,1.856,0.839,1.09,0.843,0.712,0.424,0.623,0.381,0.562,0.617,0.509,0.894,0.749,0.685,0.654,0.546,0.806,0.482,0.148,0.472,0.714,0.935,0.692,0.475,0.447,0.857,0.888,0.555,0.474,0.864,1.494,0.33,0.171,0.904,1.081,1.06,0.944,0.67,0.764,0.679,1.537,1.663,1.175,1.112,1.67,0.764,1.614,2.032
"1982",0.908,0.713,0.639,0.306,0.841,0.748,0.434,0.268,0.99,0.403,0.383,0.403,0.333,0.393,2.066,2.108,0.391,1.351,0.838,0.787,0.465,0.845,0.441,0.744,0.646,0.599,0.952,0.969,0.815,0.797,0.293,0.622,0.619,0.45,0.423,0.904,1.283,0.896,0.417,0.361,0.781,0.808,0.696,0.579,0.991,1.721,0.254,0.105,0.486,1.168,1.186,1.269,0.833,1.156,0.839,1.194,1.112,1.152,1.299,1.229,0.497,1.494,2.432
"1983",0.448,0.357,0.443,0.256,0.533,0.31,0.232,0.25,0.213,0.309,0.22,0.074,0.215,0.52,1.864,2.142,0.304,0.664,0.355,0.335,0.216,0.309,0.186,0.408,0.422,0.307,0.444,0.456,0.62,0.713,0.293,0.67,0.535,0.251,0.31,0.531,0.786,0.717,0.252,0.261,0.668,0.731,0.608,0.601,0.577,0.865,0.254,0.273,0.499,0.702,0.829,0.85,0.684,0.79,0.703,1.167,0.716,0.779,0.875,1.09,0.4,1.264,1.693
"1984",0.526,0.899,0.665,0.178,0.439,0.463,0.408,0.356,0.303,0.258,0.422,0.813,0.31,0.495,1.97,2.67,0.23,0.849,0.487,0.331,0.183,0.264,0.216,0.237,0.299,0.242,0.442,0.512,0.535,0.663,0.231,0.315,0.389,0.185,0.294,0.476,0.764,0.569,0.174,0.199,0.503,0.631,0.715,0.395,0.635,1.03,0.381,0.268,0.645,0.771,0.749,0.786,0.634,0.665,0.574,0.717,1.72,0.647,0.765,1.925,0.525,2.714,2.316
"1985",0.416,1.079,1.243,0.643,0.391,1.304,0.988,0.742,0.336,0.753,1.036,0.948,0.771,0.532,2.2,2.065,0.521,1.273,0.505,0.457,0.303,0.311,0.262,0.453,0.637,0.339,0.745,0.41,1.051,1.067,0.487,0.788,0.436,0.304,0.349,0.449,1.194,0.921,0.37,0.164,0.964,1.026,0.942,0.819,0.844,1.452,0.854,0.259,0.768,1.278,1.031,1.269,1.141,0.96,1.051,1.258,1.718,0.837,0.916,1.482,0.65,0.811,1.222
"1986",0.499,1.542,1.836,1.045,0.528,1.259,1.228,0.875,0.588,1.384,1.473,1.335,1.167,0.394,2.219,0.825,0.721,1.317,0.514,0.49,0.667,0.713,0.453,0.409,0.583,0.562,0.733,0.666,0.662,0.592,0.722,0.803,0.785,0.656,0.544,0.739,0.671,0.712,0.633,0.462,0.831,0.978,0.815,0.812,0.76,1.229,0.975,0.348,1.145,0.927,0.928,0.801,0.871,0.88,0.755,1.265,2.266,0.677,0.745,2.424,0.941,1.616,1.721
"1987",0.49,0.775,1.119,0.595,0.366,0.791,0.659,0.375,0.672,1.032,0.932,0.731,0.811,0.868,2.816,0.505,0.637,1.637,0.754,0.945,0.872,0.944,0.637,0.614,0.917,0.812,1.187,0.962,1.194,1.048,0.866,0.934,0.699,0.542,0.945,1.001,1.162,0.93,0.455,0.59,1.162,1.41,1.141,0.944,0.636,1.772,0.891,0.936,0.848,1.208,1.15,1.271,1.299,1.118,0.876,0.607,2.042,1.09,1.129,1.906,0.74,1.732,1.347
"1988",0.559,1.403,1.221,0.482,0.348,1.001,1.007,0.37,0.975,0.735,1.396,1.204,0.788,0.497,2.012,2.513,0.714,1.485,0.822,0.867,0.502,0.998,0.417,0.493,0.619,0.383,1.071,0.867,1.253,1.045,1.572,1.454,0.619,0.872,0.654,0.877,1.273,0.938,0.562,0.58,1.204,1.214,1.031,0.959,0.773,1.513,1.346,0.904,1.421,0.913,0.955,1.319,1.086,1.226,0.867,0.612,2.527,0.878,1.096,2.823,1.035,2.064,2.367
"1989",0.55,1.214,1.034,0.642,0.499,0.858,0.997,0.817,0.681,1.072,1.03,0.687,0.283,0.223,1.334,2.333,1.369,2.391,0.94,1.088,0.734,0.943,0.546,0.748,0.678,0.648,1.024,0.962,1.879,1.824,1.882,1.14,1.051,0.925,0.784,0.913,1.894,1.218,0.981,0.809,1.869,2.109,1.985,0.939,1.286,1.54,0.8,0.683,1.222,1.446,1.78,2.537,1.842,1.632,1.7,0.963,2.155,1.315,1.545,2.137,1.043,1.742,1.464
"1990",0.697,0.426,0.432,0.223,0.432,0.315,0.274,0.285,0.584,0.392,0.289,0.436,0.61,0.785,2.747,2.124,0.645,1.562,0.93,0.956,0.768,0.934,0.503,0.595,0.512,0.515,0.956,0.875,1.592,1.207,1.481,0.449,0.791,0.724,0.745,0.747,1.782,1.065,0.687,0.374,1.549,1.747,1.58,1.273,1.96,1.708,0.496,0.593,0.66,1.147,1.847,2.004,1.32,1.849,1.488,1.225,1.291,1.546,1.434,2.542,0.446,2.531,1.039
"1991",0.604,1.746,0.689,0.809,0.251,1.257,0.923,0.709,0.936,0.572,0.468,0.696,0.502,0.511,2.366,1.697,0.998,0.664,0.454,0.374,0.425,0.508,0.364,0.491,0.472,0.323,0.461,0.685,1.258,0.855,0.659,0.975,0.538,0.477,0.439,0.499,1.204,0.733,0.38,0.399,0.941,1.028,1.146,0.775,1.061,1.074,0.954,0.636,1.025,1.029,1.233,1.036,0.805,0.94,1.122,1.09,2.197,0.966,0.919,0.56,0.874,1.94,1.523
"1992",0.558,1.052,1.259,0.868,0.604,1.594,0.831,1.165,0.729,0.766,0.789,0.774,0.775,0.843,2.177,1.39,0.675,1.702,0.77,0.67,0.548,0.743,0.3,0.406,0.59,0.374,0.865,1.047,1.609,0.972,1.248,1.589,1.179,1.314,0.69,0.715,1.547,1.163,0.688,0.68,1.681,1.706,1.549,1.088,1.332,1.547,0.849,0.333,1.22,1.496,1.64,1.56,1.303,1.46,1.411,1.525,2.257,1.209,1.364,2.277,0.818,1.098,1.101
"1993",0.723,1.12,1.197,0.798,0.515,2.351,1.351,1.249,1.165,0.731,0.989,0.981,0.598,0.918,1.686,2.654,0.871,1.425,0.849,0.646,0.47,0.577,0.217,0.3,0.522,0.473,0.925,0.905,1.289,1.136,0.876,0.775,0.85,1.176,0.648,0.705,1.451,0.949,0.525,0.572,1.656,1.299,1.171,1.075,1.236,1.423,0.91,0.949,1.193,1.255,1.354,1.453,1.359,1.417,1.246,1.402,2.513,0.877,1.188,2.049,1.16,2.654,0.886
"1994",0.322,1.005,1.072,0.772,0.443,1.685,0.984,0.94,1.058,0.684,0.637,0.866,0.281,1.109,0.821,1.276,1.094,1.137,0.839,0.896,0.539,0.781,0.397,0.598,0.571,0.762,0.799,0.915,1.25,1.095,1.384,0.5,0.791,0.818,0.582,0.728,1.647,0.852,0.686,0.583,1.104,1.382,1.164,1.143,1.468,1.15,0.732,0.74,1.172,1.129,1.121,1.895,1.127,1.531,1.762,1.448,1.84,0.508,0.878,2.161,1.193,2.37,0.413
"1995",0.154,0.381,0.32,0.354,0.458,0.963,0.5,0.367,0.47,0.362,0.291,0.65,0.497,0.486,1.375,0.663,0.457,1.282,0.776,0.573,0.324,0.565,0.216,0.26,0.349,0.478,0.712,0.664,1.311,0.669,0.864,0.642,0.686,0.714,0.483,0.4,1.185,0.904,0.528,0.519,1.17,1.247,1.891,1.003,1.371,1.073,0.588,0.515,0.448,1.106,1.25,1.419,1.327,1.507,1.679,1.005,1.289,0.745,0.759,1.14,0.438,1.722,0.634
"1996",0.288,0.781,0.946,0.8,0.26,1.455,0.97,0.87,1.023,0.65,0.84,1.071,1.089,0.664,1.602,0.67,0.929,0.808,0.593,0.505,0.224,0.334,0.138,0.234,0.292,0.374,0.636,0.527,0.902,0.534,0.518,0.702,0.544,0.518,0.325,0.348,0.909,0.842,0.341,0.426,0.874,0.955,1.439,0.887,1.042,0.749,1.013,0.73,0.985,0.738,1.076,1.094,0.856,1.073,0.888,1.015,1.869,0.706,0.772,0.969,0.993,1.666,0.419
"1997",0.667,1.007,0.642,0.446,0.144,0.933,0.858,0.57,0.642,0.449,0.492,0.557,0.244,0.365,1.832,1.235,0.398,0.798,0.82,0.762,0.563,0.626,0.374,0.431,0.523,0.53,0.966,0.898,1.12,0.596,0.796,0.559,0.62,0.653,0.625,0.662,1.249,0.946,0.608,0.611,1.03,1.113,1.05,1.116,1.167,1.194,0.528,0.46,0.625,1.084,1.535,1.364,1.397,1.1,1.021,0.844,1.157,1.197,1.224,1.101,0.628,0.874,0.613
"1998",0.623,0.987,0.617,0.31,0.759,1.176,1.196,0.225,1.005,0.447,0.913,0.903,0.468,0.165,1.061,1.137,0.406,1.17,0.732,0.589,0.395,0.587,0.194,0.377,0.351,0.307,0.983,0.694,1.099,0.851,1.07,0.35,0.899,0.972,0.414,0.638,0.678,0.759,0.406,0.603,1.074,0.979,1.158,1.123,1.284,0.931,0.962,0.704,0.867,0.84,1.197,1.352,1.2,0.861,0.994,0.552,1.417,0.918,0.942,2.351,1.065,1.429,1.401
"1999",0.522,1.073,0.749,0.499,0.383,1.122,1.684,0.327,0.944,0.461,0.347,0.928,0.19,0.249,1.335,0.337,0.527,0.296,0.463,0.434,0.427,0.397,0.278,0.395,0.315,0.365,0.662,0.501,0.939,0.68,0.836,0.405,0.771,0.833,0.445,0.586,1.578,0.7,0.401,0.495,0.966,1.281,0.667,0.986,1.036,0.932,0.396,0.496,0.332,0.759,1.125,1.419,1.113,1.182,1.061,1.093,1.31,0.818,0.772,1.978,0.475,1.759,0.698
"2000",0.448,0.735,0.532,0.316,0.346,0.492,0.846,0.282,0.628,0.187,0.787,0.683,0.063,0.981,1.137,0.299,0.387,0.631,0.47,0.342,0.178,0.298,0.115,0.231,0.278,0.113,0.612,0.429,0.964,0.437,0.567,0.342,0.239,0.38,0.361,0.286,1.027,0.553,0.362,0.42,0.946,1.008,0.728,0.761,0.677,0.477,0.339,0.687,0.541,0.517,1.749,1.325,0.676,0.542,0.534,0.516,1.162,0.912,0.74,1.568,0.853,1.23,1.589
"2001",0.238,0.21,0.222,0.186,0.394,0.636,0.67,0.081,0.533,0.087,0.275,0.555,0.058,0.403,0.381,0.171,0.287,0.805,0.571,0.379,0.505,0.523,0.131,0.53,0.318,0.192,0.946,0.747,1.012,0.628,0.62,0.287,0.509,0.517,0.664,0.747,1.377,0.774,0.491,0.366,0.766,1.069,0.777,0.923,NA,1.561,0.321,0.321,0.336,1.048,1.696,1.138,0.767,0.836,0.915,0.931,1.146,0.735,0.503,1.421,0.452,1.823,0.945
"2002",0.271,0.108,0.042,0.045,0.083,0.227,0.309,0.096,0.18,0.094,0.032,0.116,0.1,0.246,0.26,1.013,0.087,0.33,0.534,0.522,0.227,0.418,0.246,0.529,0.321,0.475,0.831,0.704,1.071,0.775,0.325,0.231,0.408,0.335,0.481,0.639,1.392,0.889,0.488,0.228,0.804,1.248,0.313,1.011,NA,1.178,0.112,0.122,0.084,0.721,1.315,1.251,0.79,1.057,1.104,0.913,0.264,0.686,0.672,1.752,0.06,1.119,0.616
"2003",0.318,0.1,0.126,0.066,0.255,0.182,0.3,0.06,0.122,0.078,0.073,0.137,NA,0.147,1.18,2.015,0.084,0.273,0.444,0.528,0.228,0.342,0.218,0.402,0.354,0.166,0.699,0.646,0.568,0.53,0.106,0.152,0.127,0.135,0.516,0.582,0.884,0.478,NA,0.247,0.391,0.627,0.193,0.533,NA,0.764,0.323,0.167,0.188,0.96,0.943,1.036,0.388,0.59,0.525,0.878,0.575,0.422,0.388,0.586,0.227,1.499,0.974
"2004",0.304,0.081,0.092,0.095,0.376,0.239,0.253,0.084,0.098,0.074,0.053,0.067,NA,0.644,1.954,2.072,0.058,0.635,0.206,0.259,0.142,0.185,0.13,0.139,0.188,0.173,0.301,0.365,0.585,0.344,0.096,0.107,0.116,0.104,0.19,0.295,0.506,0.406,NA,NA,0.269,0.568,0.286,0.443,NA,0.437,0.449,0.234,0.39,0.593,0.668,0.584,0.296,0.331,0.337,1.107,0.838,0.373,0.148,0.555,0.469,0.321,1.006
"2005",0.567,0.13,0.109,0.069,0.661,0.415,0.487,0.065,0.114,NA,0.07,0.102,NA,1.263,2.065,1.864,0.103,0.818,0.132,0.093,0.117,0.107,0.062,0.042,0.101,0.147,0.167,0.148,0.485,0.429,0.226,0.171,0.149,0.064,0.136,0.12,0.669,0.468,NA,NA,0.358,0.608,0.303,0.49,NA,0.335,0.524,0.27,0.529,0.767,0.952,0.748,0.318,0.589,0.456,0.689,1.05,0.509,0.229,1.753,0.396,1.568,1.186
"2006",0.412,0.072,0.075,0.071,0.479,0.509,0.592,0.06,0.07,NA,0.066,0.069,NA,1.165,1.826,1.003,0.126,1.232,0.254,0.258,0.168,0.196,0.149,0.225,0.195,0.289,0.389,0.386,0.642,0.513,0.149,0.226,0.224,0.233,0.281,0.323,0.758,0.513,NA,NA,0.476,0.775,0.324,0.567,NA,0.721,0.889,0.327,0.666,0.656,1.025,0.927,0.64,0.653,0.563,0.612,1.458,0.521,0.208,2.828,0.599,1.467,0.939
"2007",0.242,0.043,0.109,0.068,0.376,0.173,0.295,0.052,0.109,NA,0.035,0.081,NA,1.411,1.038,0.985,NA,1.019,0.267,0.111,0.172,0.149,0.122,0.088,0.186,0.089,0.482,0.254,0.465,0.265,NA,NA,0.173,0.137,0.103,0.388,0.706,0.282,NA,NA,0.513,0.763,0.214,0.635,NA,0.863,0.394,0.154,0.423,0.698,0.96,0.729,0.507,0.654,0.486,0.509,0.686,0.319,0.14,2.52,0.561,2.097,0.805
"2008",0.728,0.029,0.034,NA,0.268,0.329,0.349,NA,0.095,NA,NA,0.057,NA,0.965,0.938,0.515,NA,0.711,0.644,0.32,0.262,0.305,0.233,0.272,0.362,0.128,0.531,0.416,0.27,0.286,NA,NA,NA,NA,0.351,0.547,0.563,0.401,NA,NA,0.317,0.586,0.219,0.415,NA,0.969,0.279,0.165,0.369,0.874,0.571,0.604,0.273,0.484,0.467,0.26,0.34,0.198,0.123,1.568,0.277,1.481,0.177
"2009",0.366,0.078,0.098,NA,0.411,0.253,0.565,NA,0.101,NA,NA,0.09,NA,0.811,1.197,0.872,NA,0.867,0.919,0.547,0.483,0.367,0.173,0.149,0.235,NA,0.726,0.741,0.165,NA,NA,NA,NA,NA,0.504,0.517,0.392,NA,NA,NA,0.174,0.393,NA,0.23,NA,1.148,0.499,0.267,0.513,0.651,0.436,0.291,0.13,0.518,0.474,0.634,0.397,0.417,0.225,1.683,0.583,1.861,0.708
"2010",0.579,0.062,0.069,NA,0.336,0.272,0.311,NA,0.077,NA,NA,0.073,NA,1.1,0.873,0.814,NA,0.609,0.642,0.481,0.308,0.287,0.374,0.403,0.3,NA,0.708,0.657,0.304,NA,NA,NA,NA,NA,0.266,0.49,0.389,NA,NA,NA,0.153,0.218,NA,0.165,NA,0.861,0.429,0.142,0.43,0.747,0.213,0.237,0.122,0.351,0.274,0.497,0.348,0.275,NA,1.283,0.424,1.012,0.879
"2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.844,0.658,0.436,0.362,NA,NA,NA,NA,0.885,0.467,NA,NA,NA,NA,NA,NA,0.225,NA,NA,NA,NA,NA,NA,0.348,NA,0.224,NA,1.015,NA,NA,NA,NA,0.499,0.559,0.183,0.388,0.425,NA,NA,NA,NA,NA,NA,NA,NA
